CODE LAT LON
BIKF N635906 W0223620
CYUL N452805 W0734429
CYYZ N434038 W0793750
DAAG N364138 E0031252
DTTA N365104 E0101337
EBAW N511122 E0042737
EBBR N505405 E0042904
EBLG N503811 E0052634
EBOS N511156 E0025144
EDDB N522144 E0133002
EDDF N500200 E0083414
EDDH N533749 E0095918
EDDK N505157 E0070834
EDDL N511651 E0064526
EDDM N482114 E0114710
EDDN N492955 E0110441
EDDP N512526 E0121411
EDDS N484124 E0091319
EDDT N523335 E0131716
EDDV N522737 E0094101
EETN N592448 E0244957
EFHK N601902 E0245748
EGAA N543927 W0061257
EGBB N522714 W0014453
EGCC N532114 W0021630
EGFF N512348 W0032036
EGGD N512258 W0024309
EGGP N532001 W0025059
EGGW N515229 W0002206
EGHI N505701 W0012124
EGKK N510853 W0001125
EGLL N512839 W0002741
EGMC N513413 E0004136
EGNM N535158 W0013939
EGNT N550217 W0014123
EGNX N524952 W0011940
EGPH N555700 W0032221
EGPK N553034 W0043540
EGSS N515306 E0001406
EHAM N521829 E0044551
EHEH N512700 E0052228
EHRD N515725 E0042614
EIDW N532517 W0061612
EKBI N554425 E0090906
EKCH N553705 E0123922
ELLX N493724 E0061216
ENBR N601737 E0051305
ENGM N601210 E0110502
EPKK N500440 E0194705
EPKT N502827 E0190448
EPWA N520957 E0205802
ESGG N573936 E0121728
ESKN N584719 E0165413
ESSA N593907 E0175507
ETNL N535509 E0121642
EVRA N565525 E0235816
EYVI N543813 E0251716
GCFV N282710 W0135150
GCLP N275555 W0152312
GCRR N285644 W0133619
GCXO N282858 W0162030
GMFF N335538 W0045840
GMMN N332151 W0073454
GMMX N313631 W0080227
GMTT N354354 W0055516
HECA N300641 E0312450
HTDA S065232 E0391212
KATL N333800 W0842600
KCLT N351300 W0805700
KEWR N404148 W0741006
KIAD N385642 W0772724
KJFK N403825 W0734642
KMIA N254800 W0801700
KPHL N395212 W0751442
KUGN N422518 W0875206
LBSF N424142 E0232430
LCLK N345244 E0333749
LDDU N423341 E0181606
LDSP N433220 E0161753
LDZA N454435 E0160408
LEAL N381656 W0003329
LEAM N365038 W0022212
LEAS N433349 W0060205
LEBB N431804 W0025438
LEBL N411749 E0020442
LEBZ N385329 W0064917
LECO N431807 W0082238
LEGE N415403 E0024538
LEGR N371119 W0034638
LEIB N385222 E0012223
LEJR N364441 W0060336
LELN N423519 W0053922
LEMD N402820 W0033339
LEMG N364030 W0042957
LEMH N395145 E0041307
LEPA N393306 E0024420
LESO N432123 W0014726
LEST N425347 W0082455
LEVC N392922 W0002854
LEVD N414222 W0045107
LEVX N421345 W0083739
LEXJ N432537 W0034912
LEZL N372505 W0055356
LFBD N444943 W0004255
LFBT N431108 W0000010
LFCK N433318 E0021726
LFLL N454332 E0050452
LFMD N433247 E0065715
LFML N432612 E0051254
LFMN N433955 E0071254
LFOB N492716 E0020646
LFPG N490035 E0023252
LFPO N484324 E0022246
LFQQ N503348 E0030513
LFRN N480419 W0014356
LFRS N470925 W0013628
LFSB N473524 E0073145
LFST N483231 E0073804
LGAV N375612 E0235640
LGIR N352023 E0251049
LGKR N393607 E0195444
LGMK N372614 E0252050
LGSR N362357 E0252845
LGTS N403111 E0225815
LHBP N472622 E0191543
LIBD N410817 E0164554
LICJ N381055 E0130558
LIEE N391450 E0090322
LIEO N405355 E0093104
LIMC N453748 E0084323
LIME N454008 E0094201
LIMF N451209 E0073858
LIML N452658 E0091642
LIPE N443151 E0111749
LIPH N453903 E0121152
LIPX N452347 E0105316
LIPZ N453019 E0122107
LIRF N414801 E0121420
LIRN N405304 E0141727
LIRP N434058 E0102344
LIRQ N434831 E0111210
LKPR N500603 E0141536
LLBG N320034 E0345308
LMML N355127 E0142839
LOWW N480637 E0163411
LPPR N411408 W0084041
LPPT N384627 W0090803
LRCL N464721 E0234132
LROP N443416 E0260506
LSGG N461418 E0060634
LSZG N471053 E0072459
LSZH N472729 E0083253
LTBA N405834 E0284851
LTFJ N405354 E0291833
LUKK N465540 E0285551
LWSK N415742 E0213717
LYBE N444910 E0201825
LYTV N422417 E0184324
OLBA N334909 E0352924
OMAA N242600 E0543900
OMDB N251457 E0552136
OTHH N251628 E0513630
SAEZ S344920 W0583209
SBGR S232600 W0462812
SKBO N044200 W0740900
UKBB N502041 E0305336
UKKK N502407 E0302707
ULLI N594801 E0301545
URKK N450205 E0391012
UUDD N552431 E0375423
UUEE N555821 E0372447
UWKD N553625 E0491649
WSSS N012133 E1035921
